recent_team,passing_tds,week,completions,attempts,passing_yards,passing_yards_after_catch,sacks,passing_epa
PIT,0,13,7,10,70,21,0,-0.4800470601178337
NE,0,10,3,7,25,12,0,-0.8285839124000631
NE,0,12,9,14,54,58,1,-6.4132949726772495
NE,0,13,13,25,141,59,5,-15.719805817992892
NE,3,14,19,28,240,137,2,1.2988814690033903
NE,1,15,23,31,180,95,4,-12.91829583833274
NE,2,16,25,33,256,94,2,3.180225539440515
NE,0,17,16,26,209,105,3,-12.082419550110458
NE,0,18,12,30,88,52,7,-27.749018961736947
ATL,0,10,4,6,39,9,0,2.4857614090433344
ATL,1,12,13,21,168,60,0,-2.746315741154831
ATL,1,13,12,27,121,24,3,-3.778801962090527
ATL,1,14,26,40,347,133,3,-3.4233185247805267
ATL,1,15,12,20,152,76,0,3.120557009911863
ATL,0,17,3,4,17,2,0,-2.75917106482666
ATL,2,18,22,30,291,204,0,6.867769799828688
GB,0,17,1,1,37,3,0,2.1436268281540833
CHI,0,10,20,33,162,101,0,-2.019608180303595
NYG,2,10,14,27,86,62,5,-11.907895865544459
NYG,3,11,18,26,246,87,9,3.808219777303748
NYG,1,12,17,25,191,71,6,-1.824021166448882
NYG,1,14,17,21,158,65,0,5.1811854265103605
NYG,0,15,20,34,177,121,7,-14.636729936639313
NYG,0,16,9,16,55,55,1,-6.6646924380415005
NYG,0,18,2,2,14,9,1,-1.4483296424150467
LV,1,10,16,27,153,83,3,-9.807394982754028
LV,1,11,24,41,271,101,2,-9.57663344397134
LV,1,12,23,33,248,145,1,4.325248748179089
LV,0,14,21,32,171,120,4,-19.20355119294254
LV,4,15,20,34,248,95,1,10.630083312629722
LV,0,16,9,21,62,37,2,-12.96893692768682
LV,2,17,30,47,299,112,2,8.476911331376785
LV,2,18,20,31,244,83,2,11.44188592725486
CLE,0,11,24,43,165,98,1,-9.681774268266912
CLE,1,12,14,29,134,35,0,-0.00183594018998567
CLE,0,15,1,1,5,10,0,2.0642242955509573
CLE,0,16,1,2,6,7,1,-4.293592726578936
MIN,0,17,5,10,67,34,3,-14.99169085717639
CAR,0,10,21,38,185,78,3,-8.250408326359667
CAR,1,11,16,29,123,61,7,-18.73243090448309
CAR,0,12,18,31,194,84,4,-4.867258823719059
CAR,0,13,15,31,178,46,4,-5.070967915060464
CAR,0,14,13,36,137,52,4,-31.291697221108052
CAR,0,15,18,24,167,57,3,-3.88388326859889
CAR,2,16,23,36,312,107,2,10.878574913417076
CAR,0,17,19,32,112,72,6,-21.465144071611576
CAR,0,18,11,18,94,60,3,-5.80218840235935
TEN,0,10,19,39,199,126,4,-11.563321911684694
TEN,2,11,13,17,158,62,2,2.9629585499642417
TEN,0,12,18,28,185,42,1,-0.05040947084373792
TEN,1,13,16,33,224,117,6,0.1449495846555211
TEN,1,14,23,38,327,126,1,7.71207234698824
TEN,0,15,17,26,199,47,7,-5.730502565711504
TEN,0,17,2,6,16,5,1,-9.646544275106862
HOU,1,10,23,39,356,82,1,5.137883713780642
HOU,2,11,27,37,336,84,3,3.795734735649568
HOU,2,12,26,36,304,144,4,0.7591409554233532
HOU,1,13,16,27,274,124,5,1.248777172428555
HOU,0,14,10,23,91,47,4,-16.43346299935365
HOU,1,17,24,32,213,138,1,4.086053234528455
HOU,2,18,20,26,264,115,2,12.062857357430085
